text;predicted_decision;predicted_rationale
"In commit ac16ec835314 (""mm: migrate: support multiple target nodes
demotion""), after the first demotion target node is found, we will
continue to check the next candidate obtained via find_next_best_node()";0;1
This is to find all demotion target nodes with same NUMA distance;0;0
" But
one side effect of find_next_best_node() is that the candidate node
returned will be set in ""used"" parameter, even if the candidate node isn't
passed in the following NUMA distance checking, the candidate node will
not be used as demotion target node for the following nodes";0;1
" For example,
for system as follows,
node distances";0;1
"node   0   1   2   3
when we establish demotion target node for node 0, in the first round node
2 is added to the demotion target node set";0;0
" Then in the second round,
node 3 is checked and failed because distance(0, 3) > distance(0, 2)";0;0
" But
node 3 is set in ""used"" nodemask too";0;0
" When we establish demotion target
node for node 1, there is no available node";0;0
" This is wrong, node 3 should
be set as the demotion target of node 1";0;1
"To fix this, if the candidate node is failed to pass the distance
checking, it will be cleared in ""used"" nodemask";1;1
" So that it can be used
for the following node";1;1
"The bug can be reproduced and fixed with this patch on a 2 socket server
machine with DRAM and PMEM.";1;1
mm/fs: delete PF_SWAPWRITE;1;0
"PF_SWAPWRITE has been redundant since v3.2 commit ee72886d8ed5 (""mm";0;1
"vmscan: do not writeback filesystem pages in direct reclaim"")";0;0
"Coincidentally, NeilBrown's current patch ""remove inode_congested()""
deletes may_write_to_inode(), which appeared to be the one function which
took notice of PF_SWAPWRITE";1;0
" But if you study the old logic, and the
conditions under which may_write_to_inode() was called, you discover that
flag and function have been pointless for a decade.";0;0
mm: remove unneeded local variable follflags;1;1
"We can pass FOLL_GET | FOLL_DUMP to follow_page directly to simplify the
code a bit in add_page_for_migration and split_huge_pages_pid.";1;1
mm: replace multiple dcache flush with flush_dcache_folio();1;1
Simplify the code by using flush_dcache_folio().;1;1
mm: fix missing cache flush for all tail pages of compound page;1;1
"The D-cache maintenance inside move_to_new_page() only consider one
page, there is still D-cache maintenance issue for tail pages of
compound page (e.g";1;0
THP or HugeTLB);0;0
"THP migration is only enabled on x86_64, ARM64 and powerpc, while
powerpc and arm64 need to maintain the consistency between I-Cache and
D-Cache, which depends on flush_dcache_page() to maintain the
consistency between I-Cache and D-Cache";0;1
"But there is no issues on arm64 and powerpc since they already considers
the compound page cache flushing in their icache flush function";0;1
"HugeTLB migration is enabled on arm, arm64, mips, parisc, powerpc,
riscv, s390 and sh, while arm has handled the compound page cache flush
in flush_dcache_page(), but most others do not";0;1
In theory, the issue exists on many architectures;0;0
" Fix this by not
using flush_dcache_folio() since it is not backportable.";1;1
mm/gup: follow_pfn_pte(): -EEXIST cleanup;1;1
"Remove a quirky special case from follow_pfn_pte(), and adjust its
callers to match";1;0
 Caller changes include;1;0
"__get_user_pages(): Regardless of any FOLL_* flags, get_user_pages() and
its variants should handle PFN-only entries by stopping early, if the
caller expected **pages to be filled in";0;1
" This makes for a more reliable
API, as compared to the previous approach of skipping over such entries
(and thus leaving them silently unwritten)";0;1
"move_pages(): squash the -EEXIST error return from follow_page() into
-EFAULT, because -EFAULT is listed in the man page, whereas -EEXIST is
not.";0;0
mm/rmap: Convert rmap_walk() to take a folio;1;0
"This ripples all the way through to every calling and called function
from rmap.";1;0
mm/migrate: Convert remove_migration_ptes() to folios;1;0
Convert the implementation and all callers.;1;0
mm/rmap: Convert try_to_migrate() to folios;1;0
"Convert the callers to pass a folio and the try_to_migrate_one()
worker to use a folio throughout";1;0
" Fixes an assumption that a
folio must be <= PMD size.";1;1
mm: Convert page_vma_mapped_walk to work on PFNs;1;0
"page_mapped_in_vma() really just wants to walk one page, but as the
code stands, if passed the head page of a compound page, it will
walk every page in the compound page";1;1
" Extract pfn/nr_pages/pgoff
from the struct page early, so they can be overridden by
page_mapped_in_vma().";1;0
mm: Add DEFINE_PAGE_VMA_WALK and DEFINE_FOLIO_VMA_WALK;1;1
"Instead of declaring a struct page_vma_mapped_walk directly,
use these helpers to allow us to transition to a PFN approach in the
following patches.";1;1
mm: move the migrate_vma_* device migration code into its own file;1;0
"Split the code used to migrate to and from ZONE_DEVICE memory from
migrate.c into a new file.";0;1
mm: refactor the ZONE_DEVICE handling in migrate_vma_pages;1;0
"Make the flow a little more clear and prepare for adding a new
ZONE_DEVICE memory type.";1;1
mm: refactor the ZONE_DEVICE handling in migrate_vma_insert_page;1;1
"Make the flow a little more clear and prepare for adding a new
ZONE_DEVICE memory type.";1;1
mm: remove the extra ZONE_DEVICE struct page refcount;1;0
"ZONE_DEVICE struct pages have an extra reference count that complicates
the code for put_page() and several places in the kernel that need to
check the reference count to see that a page is not being used (gup,
compaction, migration, etc.)";0;0
"Clean up the code so the reference count
doesn't need to be treated specially for ZONE_DEVICE pages";1;1
"Note that this excludes the special idle page wakeup for fsdax pages,
which still happens at refcount 1";1;0
" This is a separate issue and will
be sorted out later";0;0
" Given that only fsdax pages require the
notifiacation when the refcount hits 1 now, the PAGEMAP_OPS Kconfig
symbol can go away and be replaced with a FS_DAX check for this hook
in the put_page fastpath";1;1
Based on an earlier patch from Ralph Campbell <rcampbell@nvidia.com>.;0;0
mm/munlock: page migration needs mlock pagevec drained;1;1
"Page migration of a VM_LOCKED page tends to fail, because when the old
page is unmapped, it is put on the mlock pagevec with raised refcount,
which then fails the freeze";1;1
"At first I thought this would be fixed by a local mlock_page_drain() at
the upper rmap_walk() level - which would have nicely batched all the
munlocks of that page; but tests show that the task can too easily move
to another cpu, leaving pagevec residue behind which fails the migration";0;1
"So try_to_migrate_one() drain the local pagevec after page_remove_rmap()
from a VM_LOCKED vma; and do the same in try_to_unmap_one(), whose
TTU_IGNORE_MLOCK users would want the same treatment; and do the same
in remove_migration_pte() - not important when successfully inserting
a new page, but necessary when hoping to retry after failure";1;1
"Any new pagevec runs the risk of adding a new way of stranding, and we
might discover other corners where mlock_page_drain() or lru_add_drain()
would now help.";1;1
mm/migrate: __unmap_and_move() push good newpage to LRU;1;0
"Compaction, NUMA page movement, THP collapse/split, and memory failure
do isolate unevictable pages from their ""LRU"", losing the record of
mlock_count in doing so (isolators are likely to use page->lru for their
own private lists, so mlock_count has to be presumed lost)";1;1
"That's unfortunate, and we should put in some work to correct that: one
can imagine a function to build up the mlock_count again - but it would
require i_mmap_rwsem for read, so be careful where it's called";1;1
" Or
page_referenced_one() and try_to_unmap_one() might do that extra work";0;1
"But one place that can very easily be improved is page migration's
__unmap_and_move(): a small adjustment to where the successful new page
is put back on LRU, and its mlock_count (if any) is built back up by
remove_migration_ptes().";1;1
mm/munlock: rmap call mlock_vma_page() munlock_vma_page();1;0
"Add vma argument to mlock_vma_page() and munlock_vma_page(), make them
inline functions which check (vma->vm_flags & VM_LOCKED) before calling
mlock_page() and munlock_page() in mm/mlock.c";1;0
"Add bool compound to mlock_vma_page() and munlock_vma_page(): this is
because we have understandable difficulty in accounting pte maps of THPs,
and if passed a PageHead page, mlock_page() and munlock_page() cannot
tell whether it's a pmd map to be counted or a pte map to be ignored";0;1
"Add vma arg to page_add_file_rmap() and page_remove_rmap(), like the
others, and use that to call mlock_vma_page() at the end of the page
adds, and munlock_vma_page() at the end of page_remove_rmap() (end or
beginning? unimportant, but end was easier for assertions in testing)";1;1
No page lock is required (although almost all adds happen to hold it);1;0
"delete the ""Serialize with page migration"" BUG_ON(!PageLocked(page))s";0;0
"Certainly page lock did serialize with page migration, but I'm having
difficulty explaining why that was ever important";0;1
"Mlock accounting on THPs has been hard to define, differed between anon
and file, involved PageDoubleMap in some places and not others, required
clear_page_mlock() at some points";0;0
" Keep it simple now: just count the
pmds and ignore the ptes, there is no reason for ptes to undo pmd mlocks";1;0
"page_add_new_anon_rmap() callers unchanged: they have long been calling
lru_cache_add_inactive_or_unevictable(), which does its own VM_LOCKED
handling (it also checks for not VM_SPECIAL: I think that's overcautious,
and inconsistent with other checks, that mmap_region() already prevents
VM_LOCKED on VM_SPECIAL; but haven't quite convinced myself to change it).";0;0
mm/migrate.c: rework migration_entry_wait() to not take a pageref;0;0
This fixes the FIXME in migrate_vma_check_page();1;1
"Before migrating a page migration code will take a reference and check
there are no unexpected page references, failing the migration if there
are";1;0
" When a thread faults on a migration entry it will take a temporary
reference to the page to wait for the page to become unlocked signifying
the migration entry has been removed";0;1
"This reference is dropped just prior to waiting on the page lock,
however the extra reference can cause migration failures so it is
desirable to avoid taking it";1;1
"As migration code already has a reference to the migrating page an extra
reference to wait on PG_locked is unnecessary so long as the reference
can't be dropped whilst setting up the wait";1;1
"When faulting on a migration entry the ptl is taken to check the
migration entry";0;0
" Removing a migration entry also requires the ptl, and
migration code won't drop its page reference until after the migration
entry has been removed";1;0
" Therefore retaining the ptl of a migration
entry is sufficient to ensure the page has a reference";0;0
" Reworking
migration_entry_wait() to hold the ptl until the wait setup is complete
means the extra page reference is no longer needed.";0;0
mm/migrate: remove redundant variables used in a for-loop;1;1
"The variable addr is being set and incremented in a for-loop but not
actually being used";0;0
" It is redundant and so addr and also variable
start can be removed.";1;1
mm/migrate: move node demotion code to near its user;0;0
"Now, node_demotion and next_demotion_node() are placed between
__unmap_and_move() and unmap_and_move()";0;0
 This hurts code readability;0;1
So move them near their users in the file;1;0
" There's no functionality
change in this patch.";1;0
mm: migrate: add more comments for selecting target node randomly;1;1
"As Yang Shi suggested [1], it will be helpful to explain why we should
select target node randomly now if there are multiple target nodes.";0;1
mm: migrate: support multiple target nodes demotion;1;1
"We have some machines with multiple memory types like below, which have
one fast (DRAM) memory node and two slow (persistent memory) memory
nodes";0;0
" According to current node demotion policy, if node 0 fills up,
its memory should be migrated to node 1, when node 1 fills up, its
memory will be migrated to node 2: node 0 -> node 1 -> node 2 ->stop";0;0
"But this is not efficient and suitbale memory migration route for our
machine with multiple slow memory nodes";1;1
" Since the distance between
node 0 to node 1 and node 0 to node 2 is equal, and memory migration
between slow memory nodes will increase persistent memory bandwidth
greatly, which will hurt the whole system's performance";0;0
"Thus for this case, we can treat the slow memory node 1 and node 2 as a
whole slow memory region, and we should migrate memory from node 0 to
node 1 and node 2 if node 0 fills up";0;1
"This patch changes the node_demotion data structure to support multiple
target nodes, and establishes the migration path to support multiple
target nodes with validating if the node distance is the best or not";1;0
"  available: 3 nodes (0-2)
  node 0 cpus: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
  node 0 size: 62153 MB
  node 0 free: 55135 MB
  node 1 cpus";0;0
"  node 1 size: 127007 MB
  node 1 free: 126930 MB
  node 2 cpus";0;0
"  node 2 size: 126968 MB
  node 2 free: 126878 MB
  node distances";0;0
  node   0   1   2;0;0
mm: migrate: correct the hugetlb migration stats;1;1
"Correct the migration stats for hugetlb with using compound_nr() instead
of thp_nr_pages(), meanwhile change 'nr_failed_pages' to record the
number of normal pages failed to migrate, including THP and hugetlb, and
'nr_succeeded' will record the number of normal pages migrated
successfully.";0;1
mm: migrate: fix the return value of migrate_pages();1;1
"Patch series ""Improve the migration stats""";1;1
"According to talk with Zi Yan [1], this patch set changes the return
value of migrate_pages() to avoid returning a number which is larger
than the number of pages the users tried to migrate by move_pages()
syscall";0;1
" Also fix the hugetlb migration stats and migration stats in
trace_mm_compaction_migratepages().";1;1
mm: change page type prior to adding page table entry;1;1
"Patch series ""page table check"", v3";1;1
"Ensure that some memory corruptions are prevented by checking at the
time of insertion of entries into user page tables that there is no
illegal sharing";0;0
We have recently found a problem [1] that existed in kernel since 4.14;0;1
"The problem was caused by broken page ref count and led to memory
leaking from one process into another";0;0
" The problem was accidentally
detected by studying a dump of one process and noticing that one page
contains memory that should not belong to this process";0;1
"There are some other page->_refcount related problems that were recently
fixed: [2], [3] which potentially could also lead to illegal sharing";0;1
"In addition to hardening refcount [4] itself, this work is an attempt to
prevent this class of memory corruption issues";1;1
"It uses a simple state machine that is independent from regular MM logic
to check for illegal sharing at time pages are inserted and removed from
page tables.";0;1
mm: Use multi-index entries in the page cache;1;1
We currently store large folios as 2^N consecutive entries;0;0
" While this
consumes rather more memory than necessary, it also turns out to be buggy";1;1
"A writeback operation which starts within a tail page of a dirty folio will
not write back the folio as the xarray's dirty bit is only set on the
head index";1;1
" With multi-index entries, the dirty bit will be found no
matter where in the folio the operation starts";1;1
"This does end up simplifying the page cache slightly, although not as
much as I had hoped.";0;1
filemap: Add folio_put_wait_locked();1;1
"Convert all three callers of put_and_wait_on_page_locked() to
folio_put_wait_locked()";1;0
 This shrinks the kernel overall by 19 bytes;0;0
"filemap_update_page() shrinks by 19 bytes while __migration_entry_wait()
is unchanged";1;1
" folio_put_wait_locked() is 14 bytes smaller than
put_and_wait_on_page_locked(), but pmd_migration_entry_wait() grows by
14 bytes";1;0
" It removes the assumption from pmd_migration_entry_wait()
that pages cannot be larger than a PMD (which is true today, but
may be interesting to explore in the future).";0;0
mm/migrate.c: remove MIGRATE_PFN_LOCKED;1;1
"MIGRATE_PFN_LOCKED is used to indicate to migrate_vma_prepare() that a
source page was already locked during migrate_vma_collect()";1;1
" If it
wasn't then the a second attempt is made to lock the page";0;1
" However if
the first attempt failed it's unlikely a second attempt will succeed,
and the retry adds complexity";1;1
" So clean this up by removing the retry
and MIGRATE_PFN_LOCKED flag";1;1
"Destination pages are also meant to have the MIGRATE_PFN_LOCKED flag
set, but nothing actually checks that.";0;0
mm: migrate: simplify the file-backed pages validation when migrating its mapping;1;1
"There is no need to validate the file-backed page's refcount before
trying to freeze the page's expected refcount, instead we can rely on
the folio_ref_freeze() to validate if the page has the expected refcount
before migrating its mapping";1;1
"Moreover we are always under the page lock when migrating the page
mapping, which means nowhere else can remove it from the page cache, so
we can remove the xas_load() validation under the i_pages lock.";0;1
mm: migrate: make demotion knob depend on migration;1;0
The memory demotion needs to call migrate_pages() to do the jobs;0;1
" And
it is controlled by a knob, however, the knob doesn't depend on
CONFIG_MIGRATION";0;1
" The knob could be truned on even though MIGRATION is
disabled, this will not cause any crash since migrate_pages() would just
return -ENOSYS";0;1
" But it is definitely not optimal to go through demotion
path then retry regular swap every time";1;0
"And it doesn't make too much sense to have the knob visible to the users
when !MIGRATION";0;1
" Move the related code from mempolicy.[h|c] to
migrate.[h|c].";0;1
mm/migrate: fix CPUHP state to update node demotion order;1;1
The node demotion order needs to be updated during CPU hotplug;0;1
" Because
whether a NUMA node has CPU may influence the demotion order";0;1
" The
update function should be called during CPU online/offline after the
node_states[N_CPU] has been updated";0;1
" That is done in
CPUHP_AP_ONLINE_DYN during CPU online and in CPUHP_MM_VMSTAT_DEAD during
CPU offline";0;1
" But in commit 884a6e5d1f93 (""mm/migrate: update node
demotion order on hotplug events""), the function to update node demotion
order is called in CPUHP_AP_ONLINE_DYN during CPU online/offline";0;1
" This
doesn't satisfy the order requirement";0;1
"For example, there are 4 CPUs (P0, P1, P2, P3) in 2 sockets (P0, P1 in S0
and P2, P3 in S1), the demotion order is
 - S0 -> NUMA_NO_NODE
 - S1 -> NUMA_NO_NODE
After P2 and P3 is offlined, because S1 has no CPU now, the demotion
order should have been changed to
 - S0 -> S1
 - S1 -> NO_NODE
but it isn't changed, because the order updating callback for CPU
hotplug doesn't see the new nodemask";0;1
" After that, if P1 is offlined,
the demotion order is changed to the expected order as above";0;1
"So in this patch, we added CPUHP_AP_MM_DEMOTION_ONLINE and
CPUHP_MM_DEMOTION_DEAD to be called after CPUHP_AP_ONLINE_DYN and
CPUHP_MM_VMSTAT_DEAD during CPU online and offline, and register the
update function on them.";0;0
mm/migrate: add CPU hotplug to demotion #ifdef;1;1
"Once upon a time, the node demotion updates were driven solely by memory
hotplug events";1;0
" But now, there are handlers for both CPU and memory
hotplug";0;1
However, the #ifdef around the code checks only memory hotplug;0;0
" A
system that has HOTPLUG_CPU=y but MEMORY_HOTPLUG=n would miss CPU
hotplug events";0;1
Update the #ifdef around the common code;1;1
" Add memory and CPU-specific
#ifdefs for their handlers";1;1
" These memory/CPU #ifdefs avoid unused
function warnings when their Kconfig option is off.";0;1
mm/migrate: optimize hotplug-time demotion order updates;1;1
"Patch series ""mm/migrate: 5.15 fixes for automatic demotion"", v2";0;1
"This contains two fixes for the ""automatic demotion"" code which was
merged into 5.15";1;1
   suppressing any real action on irrelevant hotplug events;1;1
   is disabled;0;0
This patch (of 2);1;0
"== tl;dr ==
Automatic demotion opted for a simple, lazy approach to handling hotplug
events";1;1
 This noticeably slows down memory hotplug[1];0;0
" Optimize away
updates to the demotion order when memory hotplug events should have no
effect";1;0
This has no effect on CPU hotplug;0;1
" There is no known problem on the CPU
side and any work there will be in a separate series";0;1
"== Background ==
Automatic demotion is a memory migration strategy to ensure that new
allocations have room in faster memory tiers on tiered memory systems";1;1
"The kernel maintains an array (node_demotion[]) to drive these
migrations";0;0
"The node_demotion[] path is calculated by starting at nodes with CPUs
and then ""walking"" to nodes with memory";0;0
" Only hotplug events which
online or offline a node with memory (N_ONLINE) or CPUs (N_CPU) will
actually affect the migration order";0;1
"== Problem ==
However, the current code is lazy";0;1
" It completely regenerates the
migration order on *any* CPU or memory hotplug event";0;1
" The logic was
that these events are extremely rare and that the overhead from
indiscriminate order regeneration is minimal";0;0
"Part of the update logic involves a synchronize_rcu(), which is a pretty
big hammer";1;1
" Its overhead was large enough to be detected by some 0day
tests that watch memory hotplug performance[1]";0;0
"== Solution ==
Add a new helper (node_demotion_topo_changed()) which can differentiate
between superfluous and impactful hotplug events";1;1
" Skip the expensive
update operation for superfluous events";1;0
"== Aside: Locking ==
It took me a few moments to declare the locking to be safe enough for
node_demotion_topo_changed() to work";1;1
" It all hinges on the memory
hotplug lock";1;0
During memory hotplug events, 'mem_hotplug_lock' is held for write;0;1
"This ensures that two memory hotplug events can not be called
simultaneously";0;1
"CPU hotplug has a similar lock (cpuhp_state_mutex) which also provides
mutual exclusion between CPU hotplug events";1;1
" In addition, the demotion
code acquire and hold the mem_hotplug_lock for read during its CPU
hotplug handlers";0;0
" This provides mutual exclusion between the demotion
memory hotplug callbacks and the CPU hotplug callbacks";0;1
"This effectively allows treating the migration target generation code to
act as if it is single-threaded.";1;0
mm/migrate: Add folio_migrate_copy();1;1
"This is the folio equivalent of migrate_page_copy(), which is retained
as a wrapper for filesystems which are not yet converted to folios";1;0
Also convert copy_huge_page() to folio_copy().;1;0
mm/migrate: Add folio_migrate_flags();1;0
Turn migrate_page_states() into a wrapper around folio_migrate_flags();1;0
"Also convert two functions only called from folio_migrate_flags() to
be folio-based";0;0
" ksm_migrate_page() becomes folio_migrate_ksm() and
copy_page_owner() becomes folio_copy_owner()";1;0
" folio_migrate_flags()
alone shrinks by two thirds -- 1967 bytes down to 642 bytes.";0;0
mm/migrate: Add folio_migrate_mapping();1;1
"Reimplement migrate_page_move_mapping() as a wrapper around
folio_migrate_mapping()";1;0
 Saves 193 bytes of kernel text.;1;0
mm/memcg: Convert mem_cgroup_migrate() to take folios;1;0
Convert all callers of mem_cgroup_migrate() to call page_folio() first;1;0
They all look like they're using head pages already, but this proves it.;1;0
mm/memcg: Convert mem_cgroup_charge() to take a folio;1;0
"Convert all callers of mem_cgroup_charge() to call page_folio() on the
page they're currently passing in";1;0
" Many of them will be converted to
use folios themselves soon.";0;1
compat: remove some compat entry points;1;0
"These are all handled correctly when calling the native system call entry
point, so remove the special cases.";1;1
mm: simplify compat_sys_move_pages;1;1
"The compat move_pages() implementation uses compat_alloc_user_space() for
converting the pointer array";0;0
" Moving the compat handling into the
function itself is a bit simpler and lets us avoid the
compat_alloc_user_space() call.";1;1
mm: migrate: change to use bool type for 'page_was_mapped';1;1
"Change to use bool type for 'page_was_mapped' variable making it more
readable.";1;1
mm: migrate: fix the incorrect function name in comments;1;1
"since commit a98a2f0c8ce1 (""mm/rmap: split migration into its own
function""), the migration ptes establishment has been split into a
separate try_to_migrate() function, thus update the related comments.";0;1
mm: migrate: introduce a local variable to get the number of pages;1;1
"Use thp_nr_pages() instead of compound_nr() to get the number of pages for
THP page, meanwhile introducing a local variable 'nr_pages' to avoid
getting the number of pages repeatedly.";0;1
mm/migrate: correct kernel-doc notation;1;0
"Use the expected ""Return:"" format to prevent a kernel-doc warning";1;1
mm/migrate.c:1157: warning: Excess function parameter 'returns' description in 'next_demotion_node';0;1
mm/migrate: enable returning precise migrate_pages() success count;1;0
"Under normal circumstances, migrate_pages() returns the number of pages
migrated";0;1
 In error conditions, it returns an error code;1;0
" When returning
an error code, there is no way to know how many pages were migrated or not
migrated";0;1
"Make migrate_pages() return how many pages are demoted successfully for
all cases, including when encountering errors";1;1
" Page reclaim behavior will
depend on this in subsequent patches.";1;1
mm/migrate: update node demotion order on hotplug events;1;1
"Reclaim-based migration is attempting to optimize data placement in memory
based on the system topology";0;0
" If the system changes, so must the
migration ordering";1;1
The implementation is conceptually simple and entirely unoptimized;1;1
" On
any memory or CPU hotplug events, assume that a node was added or removed
and recalculate all migration targets";1;1
" This ensures that the
node_demotion[] array is always ready to be used in case the new reclaim
mode is enabled";1;1
"This recalculation is far from optimal, most glaringly that it does not
even attempt to figure out the hotplug event would have some *actual*
effect on the demotion order";0;0
" But, given the expected paucity of hotplug
events, this should be fine.";1;1
mm/numa: automatically generate node migration order;0;1
"Patch series ""Migrate Pages in lieu of discard"", v11";0;1
"We're starting to see systems with more and more kinds of memory such as
Intel's implementation of persistent memory";0;1
Let's say you have a system with some DRAM and some persistent memory;1;0
"Today, once DRAM fills up, reclaim will start and some of the DRAM
contents will be thrown out";1;1
" Allocations will, at some point, start
falling over to the slower persistent memory";1;1
That has two nasty properties;0;1
" First, the newer allocations can end up in
the slower persistent memory";1;1
" Second, reclaimed data in DRAM are just
discarded even if there are gobs of space in persistent memory that could
be used";1;0
This patchset implements a solution to these problems;0;1
" At the end of the
reclaim process in shrink_page_list() just before the last page refcount
is dropped, the page is migrated to persistent memory instead of being
dropped";0;0
"While I've talked about a DRAM/PMEM pairing, this approach would function
in any environment where memory tiers exist";1;1
This is not perfect;0;1
" It ""strands"" pages in slower memory and never brings
them back to fast DRAM";0;1
" Huang Ying has follow-on work which repurposes
NUMA balancing to promote hot pages back to DRAM";0;0
"This is also all based on an upstream mechanism that allows persistent
memory to be onlined and used as if it were volatile";1;0
"With that, the DRAM and PMEM in each socket will be represented as 2
separate NUMA nodes, with the CPUs sit in the DRAM node";1;0
" So the
general inter-NUMA demotion mechanism introduced in the patchset can
migrate the cold DRAM pages to the PMEM node";1;1
We have tested the patchset with the postgresql and pgbench;1;1
" On a
2-socket server machine with DRAM and PMEM, the kernel with the patchset
can improve the score of pgbench up to 22.1% compared with that of the
DRAM only + disk case";0;1
" This comes from the reduced disk read throughput
(which reduces up to 70.8%)";1;0
"== Open Issues ==
   to DRAM can be demoted to PMEM whenever they opt in to this
   new mechanism";0;1
" A cgroup-level API to opt-in or opt-out of
   these migrations will likely be required as a follow-on";0;0
   since it no longer necessarily involves I/O;1;1
" get_scan_count()
   for instance says: ""If we have no swap space, do not bother
   scanning anon pages""
This patch (of 9)";1;0
"Prepare for the kernel to auto-migrate pages to other memory nodes with a
node migration table";0;0
" This allows creating single migration target for
each NUMA node to enable the kernel to do NUMA page migrations instead of
simply discarding colder pages";1;1
" A node with no target is a ""terminal
node"", so reclaim acts normally there";0;0
" The migration target does not
fundamentally _need_ to be a single node, but this implementation starts
there to limit complexity";0;1
"When memory fills up on a node, memory contents can be automatically
migrated to another node";0;1
" The biggest problems are knowing when to
migrate and to where the migration should be targeted";0;0
"The most straightforward way to generate the ""to where"" list would be to
follow the page allocator fallback lists";0;0
" Those lists already tell us if
memory is full where to look next";1;1
" It would also be logical to move
memory in that order";1;0
"But, the allocator fallback lists have a fatal flaw: most nodes appear in
all the lists";0;0
" This would potentially lead to migration cycles (A->B,
B->A, A->B, ...)";0;1
"Instead of using the allocator fallback lists directly, keep a separate
node migration ordering";1;1
" But, reuse the same data used to generate page
allocator fallback in the first place: find_next_best_node()";0;0
"This means that the firmware data used to populate node distances
essentially dictates the ordering for now";0;1
" It should also be
architecture-neutral since all NUMA architectures have a working
find_next_best_node()";1;1
"RCU is used to allow lock-less read of node_demotion[] and prevent
demotion cycles been observed";0;1
" If multiple reads of node_demotion[] are
performed, a single rcu_read_lock() must be held over all reads to ensure
no cycles are observed";1;0
 Details are as follows;1;0
"=== What does RCU provide? ===
Imagine a simple loop which walks down the demotion path looking
for the last node";1;1
The initial values are;1;0
and are updated to;1;0
What guarantees that the cycle is not observed;1;1
"and would loop forever?
With RCU, a rcu_read_lock/unlock() can be placed around the loop";1;1
" Since
the write side does a synchronize_rcu(), the loop that observed the old
contents is known to be complete before the synchronize_rcu() has
completed";0;0
"RCU, combined with disable_all_migrate_targets(), ensures that the old
migration state is not visible by the time __set_migration_target_nodes()
is called";0;0
"=== What does READ_ONCE() provide? ===
READ_ONCE() forbids the compiler from merging or reordering successive
reads of node_demotion[]";1;0
" This ensures that any updates are *eventually*
observed";1;1
Consider the above loop again;1;0
" The compiler could theoretically read the
entirety of node_demotion[] into local storage (registers) and never go
back to memory, and *permanently* observe bad values for node_demotion[]";0;0
"Note: RCU does not provide any universal compiler-ordering
guarantees";1;0
This code is unused for now;0;1
" It will be called later in the
series.";0;0
mm/migrate: fix NR_ISOLATED corruption on 64-bit;1;1
"Similar to commit 2da9f6305f30 (""mm/vmscan: fix NR_ISOLATED_FILE
corruption on 64-bit"") avoid using unsigned int for nr_pages";1;1
" With
unsigned int type the large unsigned int converts to a large positive
signed long";0;1
"Symptoms include CMA allocations hanging forever due to
alloc_contig_range->...->isolate_migratepages_block waiting forever in
""while (unlikely(too_many_isolated(pgdat)))"".";1;1
mm: Make copy_huge_page() always available;1;0
"Rewrite copy_huge_page() and move it into mm/util.c so it's always
available";1;0
" Fixes an exposure of uninitialised memory on configurations
with HUGETLB and UFFD enabled and MIGRATION disabled";0;1
"Fixes: 8cc5fcbb5be8 (""mm, hugetlb: fix racy resv_huge_pages underflow on UFFDIO_COPY"")";1;1
mm: rename migrate_pgmap_owner;1;1
"MMU notifier ranges have a migrate_pgmap_owner field which is used by
drivers to store a pointer";0;0
" This is subsequently used by the driver
callback to filter MMU_NOTIFY_MIGRATE events";1;0
" Other notifier event types
can also benefit from this filtering, so rename the 'migrate_pgmap_owner'
field to 'owner' and create a new notifier initialisation function to
initialise this field.";1;1
mm/rmap: split migration into its own function;0;0
"Migration is currently implemented as a mode of operation for
try_to_unmap_one() generally specified by passing the TTU_MIGRATION flag
or in the case of splitting a huge anonymous page TTU_SPLIT_FREEZE";1;1
"However it does not have much in common with the rest of the unmap
functionality of try_to_unmap_one() and thus splitting it into a separate
function reduces the complexity of try_to_unmap_one() making it more
readable";0;1
"Several simplifications can also be made in try_to_migrate_one() based on
the following observations";0;1
 - All users of TTU_MIGRATION also set TTU_IGNORE_MLOCK;1;0
 - No users of TTU_MIGRATION ever set TTU_IGNORE_HWPOISON;1;0
 - No users of TTU_MIGRATION ever set TTU_BATCH_FLUSH;1;0
"TTU_SPLIT_FREEZE is a special case of migration used when splitting an
anonymous page";1;0
" This is most easily dealt with by calling the correct
function from unmap_page() in mm/huge_memory.c - either try_to_migrate()
for PageAnon or try_to_unmap().";0;1
mm/swapops: rework swap entry manipulation code;1;0
"Both migration and device private pages use special swap entries that are
manipluated by a range of inline functions";0;0
" The arguments to these are
somewhat inconsistent so rework them to remove flag type arguments and to
make the arguments similar for both read and write entry creation.";1;1
mm: remove special swap entry functions;1;0
"Patch series ""Add support for SVM atomics in Nouveau"", v11";1;1
"Introduction
Some devices have features such as atomic PTE bits that can be used to
implement atomic access to system memory";0;1
" To support atomic operations to
a shared virtual memory page such a device needs access to that page which
is exclusive of the CPU";0;1
" This series introduces a mechanism to
temporarily unmap pages granting exclusive access to a device";0;0
"These changes are required to support OpenCL atomic operations in Nouveau
to shared virtual memory (SVM) regions allocated with the
CL_MEM_SVM_ATOMICS clSVMAlloc flag";0;1
" A more complete description of the
OpenCL SVM feature is available at
OpenCL_API.html#_shared_virtual_memory ";0;0
